timestamp,open,high,low,close,volume
2025-07-21 00:27:00,116947.3,116960.0,116912.21,116960.0,25.62817
2025-07-21 00:28:00,116960.0,116991.94,116943.24,116960.01,7.96488
2025-07-21 00:29:00,116960.0,116960.0,116902.46,116914.5,3.74401
2025-07-21 00:30:00,116914.5,116958.14,116914.49,116934.99,11.06802
2025-07-21 00:31:00,116935.0,116970.69,116880.0,116954.54,12.59284
2025-07-21 00:32:00,116954.54,116999.18,116954.53,116999.18,1.7408
2025-07-21 00:33:00,116999.17,116999.18,116906.16,116906.17,3.4685
2025-07-21 00:34:00,116906.17,116930.5,116806.25,116864.49,9.22345
2025-07-21 00:35:00,116864.49,116937.13,116864.49,116905.4,3.05464
2025-07-21 00:36:00,116905.39,116905.39,116734.57,116750.0,12.53622
2025-07-21 00:37:00,116750.0,116950.0,116750.0,116929.72,11.64114
2025-07-21 00:38:00,116929.73,116972.72,116870.62,116972.72,20.5672
2025-07-21 00:39:00,116972.71,116972.72,116942.48,116955.39,6.5323
2025-07-21 00:40:00,116955.39,117125.45,116955.39,117125.45,23.67705
2025-07-21 00:41:00,117125.44,117154.81,117106.28,117124.01,13.2901
2025-07-21 00:42:00,117124.0,117196.33,117124.0,117160.0,10.34663
2025-07-21 00:43:00,117160.0,117160.0,116921.31,116979.04,16.21991
2025-07-21 00:44:00,116979.05,117027.21,116960.54,117026.79,3.97282
2025-07-21 00:45:00,117026.78,117026.78,116885.0,116885.01,2.73969
2025-07-21 00:46:00,116885.01,116960.0,116885.0,116960.0,4.49022
2025-07-21 00:47:00,116960.0,116971.26,116924.21,116971.26,8.81566
2025-07-21 00:48:00,116971.27,117147.73,116940.0,117147.73,16.29063
2025-07-21 00:49:00,117147.72,117196.32,117037.29,117196.31,27.08663
2025-07-21 00:50:00,117196.31,117220.0,117132.28,117176.37,9.18581
2025-07-21 00:51:00,117176.37,117182.67,117088.3,117180.0,7.64918
2025-07-21 00:52:00,117179.99,117190.82,117152.35,117152.36,4.75078
2025-07-21 00:53:00,117152.35,117276.58,117152.35,117246.51,18.80579
2025-07-21 00:54:00,117246.5,117246.51,117125.22,117126.71,8.23866
2025-07-21 00:55:00,117126.7,117153.52,117080.0,117080.01,48.35227
2025-07-21 00:56:00,117080.01,117244.77,117070.0,117244.77,18.37918
2025-07-21 00:57:00,117244.76,117265.61,117229.3,117265.6,3.66907
2025-07-21 00:58:00,117265.6,117352.06,117253.86,117253.87,14.78578
2025-07-21 00:59:00,117253.87,117352.06,117253.8,117352.06,34.15374
2025-07-21 01:00:00,117352.05,117415.22,117324.11,117324.12,40.87861
2025-07-21 01:01:00,117324.11,117386.91,117286.33,117317.11,38.75817
2025-07-21 01:02:00,117317.12,117377.12,117317.11,117334.22,29.00593
